COD_LOCALIDAD;LOCALIDAD; Total_habitantes
1;USAQUÉN;501999 
2;CHAPINERO;139701
3;SANTA FE;110048
4;SAN CRISTÓBAL; 404697 
5;USME; 457302
6;TUNJUELITO; 199430 
7;BOSA; 673077 
8;KENNEDY; 1088443
9;FONTIBÓN; 394648
10;ENGATIVÁ; 887080
11;SUBA; 1218513
12;BARRIOS UNIDOS; 243465 
13;TEUSAQUILLO; 153025
14;LOS MÁRTIRES; 99119 
15;ANTONIO NARIÑO; 109176 
16;PUENTE ARANDA; 258287
17;CANDELARIA; 24088
18;RAFAEL URIBE URIBE; 374246
19;CIUDAD BOLÍVAR; 733859 
20;SUMAPAZ;6531 
99;SIN LOCALIZACION; 0